Horas,Carga,GerSolar,CargaVE,Previsao
0.0,2.5,0.0,0.0,0.0
0.25,5.0,0.0,0.0,0.0
0.5,7.5,0.0,0.0,0.0
0.75,2.5,0.0,0.0,0.0
1.0,5.0,0.0,0.0,0.0
1.25,2.5,0.0,0.0,0.0
1.5,5.0,0.0,0.0,0.0
1.75,7.5,0.0,0.0,0.0
2.0,2.5,0.0,0.0,0.0
2.25,5.0,0.0,0.0,0.0
2.5,7.5,0.0,0.0,0.0
2.75,2.5,0.0,0.0,0.0
3.0,5.0,0.0,0.0,0.0
3.25,7.5,0.0,0.0,0.0
3.5,10.0,0.0,0.0,0.0
3.75,10.0,0.0,0.0,0.0
4.0,7.5,0.0,0.0,0.0
4.25,10.0,0.0,0.0,0.0
4.5,5.0,0.0,0.0,0.0
4.75,7.5,0.0,0.0,0.0
5.0,10.0,0.0,0.0,0.0
5.25,2.5,1.25,0.0,1.25
5.5,5.0,2.5,0.0,2.5
5.75,7.5,3.75,0.0,3.75
6.0,10.0,5.0,0.0,5.0
6.25,32.5,6.25,0.0,6.25
6.5,55.0,7.5,0.0,7.5
6.75,77.5,8.75,0.0,8.75
7.0,100.0,10.0,0.0,10.0
7.25,200.0,32.5,0.0,32.5
7.5,300.0,55.0,0.0,55.0
7.75,400.0,77.5,0.0,77.5
8.0,500.0,100.0,0.0,100.0
